,tconst,actors,originalTitle,genres,directors,writers,averageRating,numVotes,language
0,tt0088473,"nm0390806,nm0363699,nm0388971,nm0543019,nm0725409,nm0574333,nm0914023,nm0474056,nm0281777,nm0522513",Adventures in Wonderland,"Adventure,Comedy,Family","nm0357143,nm0009747,nm0421675,nm0343622","nm0123891,nm0040022,nm2482988,nm0072913,nm1099603,nm0056295,nm1134390,nm4126451,nm0140902",7.9,758,en
2,tt0096591,"nm0998180,nm0383022,nm1452155,nm0852517,nm1452197,nm1450957,nm0852301,nm1105471,nm1450654,nm0437794",Fushigi no umi no Nadia,"Action,Adventure,Animation","nm0557950,nm4108023,nm1372499,nm1709223,nm1374404,nm4107721,nm0847432,nm2044312,nm0605304,nm0383688,nm0535340,nm0030417,nm0557948,nm0556094,nm0766364,nm0605448,nm0473549,nm0436779,nm1858526,nm0840711,nm2854816","nm0594503,nm0963379,nm0894523,nm0849107,nm0030417",7.8,1867,en
4,tt0096657,"nm0889338,nm0000100,nm0956126,nm0003741,nm0038942,nm0193485,nm0806149,nm0571433,nm0359409,nm0020337",Mr. Bean,"Comedy,Family","nm0083606,nm0917992,nm0203791","nm0000100,nm0003741,nm0193485,nm0255780,nm0917992,nm0166597",8.6,121879,en
18,tt0096673,"nm0907947,nm0272474,nm0367696,nm0005089,nm0699198,nm0126202,nm0386023,nm0741775,nm0000274,nm0750852",The Outsiders,Drama,"nm0441914,nm0003763,nm0036206,nm0788454,nm0597099,nm0881306,nm0253531,nm0004886,nm0337550,nm0065568","nm0126202,nm0386023,nm0741775,nm0710887,nm0825744,nm0009145,nm0011925,nm1125153,nm0066985,nm0362146,nm0444006,nm0456918,nm0733149,nm0788454,nm3904602,nm3891537",7.3,656,en
21,tt0098749,"nm0142000,nm0000594,nm0001147,nm0000580,nm0001259,nm0823015,nm0005575,nm0004977,nm0001760,nm0851053","Beverly Hills, 90210","Drama,Romance","nm0003733,nm0150024,nm0000594,nm0385151,nm0793525,nm0004627,nm0578162,nm0926215,nm0783751,nm0002349,nm0382541,nm0106015,nm0930041,nm0485889,nm0180891,nm0452129,nm0516493,nm0109455,nm0343335,nm0484464,nm0296501,nm0270570,nm0004621,nm0667182,nm0722493,nm0218894,nm0541703,nm0070474,nm0002704,nm0248698,nm0856845,nm0132095,nm0823015,nm0141222,nm0065568,nm0064593,nm0267309,nm0528308,nm0201626,nm0791045,nm0295272,nm0364749,nm0001259,nm0471862,nm0509183,nm0000580,nm0010818,nm0006853,nm0881306,nm0003150,nm0540487,nm0914370,nm0006996,nm0744794,nm0036206,nm0271708,nm0664176,nm0574238,nm0695415,nm0638527,nm0004977,nm0001760,nm0915942,nm0005575","nm0823015,nm0834570,nm0423715,nm0072412,nm0565220,nm0913702,nm0458818,nm0597066,nm0825284,nm0252014,nm0872658,nm0073766,nm0361912,nm0742997,nm0743003,nm0332447,nm0178324,nm0280814,nm0818650,nm0529128,nm0920298,nm0118938,nm0276510,nm0924095,nm0767500,nm0326549,nm0825743,nm0144372,nm0731271,nm0578163,nm0082376,nm0104333,nm0213127,nm0012100,nm0296252,nm0251995,nm0253705,nm0765274,nm0842464,nm0783926,nm0106022,nm0826627,nm0556789,nm2456257,nm0956335,nm0053426,nm0053449,nm0231929,nm0501380,nm0767124,nm0922048,nm0395741,nm0302963,nm0678718,nm0002651,nm0919648,nm0456352,nm0005575,nm0491696,nm0686388,nm1341252,nm3175887,nm0326211",6.5,35126,en
31,tt0098752,"nm0725894,nm0935664,nm0000206,nm0384162,nm0534134,nm0137506,nm0005606,nm0667326,nm0077607,nm0001975",Bill & Ted's Excellent Adventures,"Adventure,Animation,Comedy","nm0023317,nm0527206,nm0666362,nm0813992,nm0881662,nm0680799","nm3362073,nm0227704,nm1406396,nm0330820,nm0363624,nm0433992,nm0448748,nm0523431,nm0524887,nm0524888,nm0552896,nm1130314,nm0733975,nm1115084,nm0736538,nm0805150,nm3293654,nm0918217",6.4,1827,fr
33,tt0098762,"nm1134425,nm0095531,nm0711014,nm0601982,nm0830799,nm0791183,nm0791269,nm0014873,nm0377243,nm0557619",The Adventures of Super Mario Bros. 3,"Adventure,Animation,Comedy",nm0344686,"nm0594427,nm0791183,nm0791269,nm0095685,nm0602922,nm1088324,nm0330820,nm0363624,nm0552896,nm0733975,nm0251395,nm1333890,nm0371051,nm0390503,nm2270931,nm0561041,nm0669960",7.1,1747,en
36,tt0098763,"nm0382375,nm0167995,nm0214114,nm0815718,nm0000996,nm1028310,nm0877894,nm0995452,nm0287482,nm0363624",Captain Planet and the Planeteers,"Action,Adventure,Animation","nm0240548,nm0739605,nm0582798,nm0680799,nm0666362,nm0617106,nm0205621","nm1028310,nm0877894,nm0995452,nm0287482,nm0363624,nm0382375,nm0518773,nm1032103,nm0769887,nm0109160,nm0220297,nm1130314,nm4397706,nm0020176,nm0403579,nm0602922,nm0371051,nm0669960,nm0730442,nm1415374,nm1418571,nm0782402,nm0561041,nm0552896,nm1332943,nm0140170,nm0140836,nm0283897,nm0007208,nm0611100,nm1179170,nm0566407,nm0969722,nm4398105,nm0774792,nm0791183,nm0791269,nm0228442,nm2696029,nm0330820,nm2404596,nm1455102,nm0572397,nm3362073,nm0625592,nm0641687,nm0214114,nm6443516,nm0251395,nm0441743,nm0095685,nm0617106,nm0558425",6.7,12039,en
44,tt0098765,"nm0557292,nm0107950,nm0362570,nm0769315,nm0420010,nm0132293,nm0891092,nm0443016,nm0002242,nm0255065",The Case-Book of Sherlock Holmes,"Crime,Drama,Mystery","nm0003201,nm0358759,nm0398275,nm0490594,nm0006960,nm0801121","nm0100928,nm0152509,nm0236279,nm0370058,nm0394165,nm0666875",8.7,5832,fr
51,tt0098774,"nm0125511,nm0639782,nm1547964,nm0876128,nm0139159,nm1354458,nm1639981,nm0961826,nm1636647,nm0079293",The Crystal Maze,"Adventure,Comedy,Family","nm0109273,nm0188463","nm0031149,nm8668259,nm1354458,nm1639981,nm0961826,nm1636647,nm8668260,nm8668261,nm8670504,nm8668135,nm0079293",8.1,1762,en
